RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,FG,e_FG,Gmag,FBP,e_FBP,BPmag,FRP,e_FRP,RPmag,BP-RP,RV,e_RV,Vbroad,GRVSmag,QSO,Gal,NSS,XPcont,XPsamp,RVS,EpochPh,EpochRV,MCMCGSP,MCMCMSC,And,Teff,logg,[Fe/H],Dist,A0,HIP,PS1,SDSS13,SKYM2,TYC2,URAT1,AllWISE,APASS9,GSC23,RAVE5,2MASS,RAVE6,RAJ2000,DEJ2000
132.93301288153,11.60099810913,604893543177715840,1.2142,0.5893,-0.162,1.6897,2.344,-1.585,1.926,-1.727,0.97,0.992,94.62083,0.81136,20.7474,66.95,6.1103,20.77417,62.459,10.794,20.258917,0.515253,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121921329330511696,,,,,,,N8X7014307,,,,132.93302007375,11.60100578328
132.96618596563,11.61317663895,604893882480109056,0.0199,0.0098,1.102,0.0228,19.064,-18.268,0.026,5.449,0.018,1.04,47973.46307,10.081,13.984864,26944.0,21.083,14.26237,30269.0,17.685,13.545393,0.716977,66.2,6.23,,13.331013,0,0,0,1,1,0,0,0,1,1,0,6045.4,4.268,-0.6456,846.1002,0.0604,,121931329662996272,1237671124833534208,,,URAT1-509150608,J085151.89+113647.3,,N8X7000943,,08515190+1136472,,132.96626885577,11.61315241951
132.95344598081,11.60669821189,604893916840190592,0.3137,0.1714,2.6754,0.3854,40.369,-38.549,0.378,11.984,0.32,0.962,296.37331,0.8524,19.507769,63.451,5.7186,20.83245,408.43,11.024,18.22009,2.61236,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121921329535498496,1237671124833534464,,,,J085148.84+113624.0,,N8X7012885,,08514888+1136241,,132.95362088472,11.60664494906
132.94741260394,11.61215296778,604893921135571712,0.0376,0.0201,0.8662,0.0444,5.262,-3.709,0.048,-3.732,0.037,1.017,8752.07493,2.8858,15.832089,4181.3,10.201,16.285255,6470.4,12.643,15.22056,1.064695,,,,,0,0,0,1,0,0,0,0,1,1,0,5052.2,4.5411,-0.0084,997.2041,0.0651,,121931329474465072,1237671124833534208,,,URAT1-509150584,J085147.37+113643.7,5188387,N8X7007029,,08514738+1136437,,132.94742943444,11.61216955471
132.94191697617,11.60483592361,604893921135574400,0.0667,0.0341,3.8702,0.0814,60.612,-19.036,0.085,-57.546,0.064,3.948,764618.56779,193.19,10.978755,398410.0,149.07,11.337726,524960.0,140.04,10.447576,0.89015,89.89,0.34,,10.232713,0,0,0,1,1,1,0,0,1,1,0,5520.4,4.1215,-0.5358,267.7493,0.0714,,121921329418466224,1237671124833533952,,814-264-1,URAT1-509150576,J085146.06+113617.6,5188385,N8X7000948,,08514608+1136183,,132.94200334703,11.60509168289
132.96081652328,11.60941420285,604893951199585920,0.015,0.0074,0.8991,0.0177,14.609,-14.412,0.019,2.388,0.013,0.878,90921.47098,21.054,13.290701,52611.0,21.943,13.535852,55245.0,27.004,12.892154,0.643699,61.78,2.04,,12.652467,0,0,0,1,1,0,0,0,1,1,0,6531.4,4.0679,-0.3005,1079.179,0.1705,,121931329608891728,1237671124833534208,,,URAT1-509150601,J085150.60+113633.8,5188386,N8X7000946,,08515061+1136337,,132.96088191636,11.60940359096
132.95863901665,11.62064422433,604893955494944896,8.4964,3.5926,,,,,,,,,70.3333,1.716,21.069464,51.997,2.1251,21.048586,85.074,21.9,19.9234,1.125185,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121941329586815216,1237671124833534208,,,,,,,,,,132.95863901665,11.62064422433
132.96258161195,11.61741274769,604893955495305088,0.0143,0.0071,1.1214,0.0169,19.101,-18.307,0.018,5.447,0.012,0.974,103209.73591,23.24,13.153065,58962.0,23.641,13.412116,63928.0,29.367,12.733674,0.678442,67.83,2.33,,12.521166,0,0,0,1,1,0,0,0,1,1,0,6332.8,4.1308,-0.6492,868.9846,0.1398,,121941329626431392,1237671124833534208,,,URAT1-509150603,J085151.02+113702.5,5188388,N8X7000939,,08515104+1137025,,132.96266467987,11.61738853724
132.95908718149,11.6187888364,604893955495305600,0.1764,0.0992,-0.1604,0.2087,4.846,1.248,0.208,-4.682,0.159,0.991,610.3264,1.0457,18.723461,348.1,10.559,18.984276,364.95,9.3404,18.342299,0.641977,,,,,0,0,0,0,0,0,0,0,1,0,0,5951.5,4.7069,-1.488,4324.6343,0.0024,,121941329591163040,1237671124833534208,,,,,,N8X7007057,,,,132.95908152062,11.61880964639
132.97918401707,11.62045539053,604893985559669632,0.5649,0.3151,1.8077,0.6933,10.249,-9.32,0.66,-4.265,0.535,1.078,155.60048,0.72648,20.20734,44.108,4.8297,21.22726,198.71,8.3336,19.002363,2.224897,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,121941329792315040,1237671124833534976,,,,J085154.98+113713.1,,N8X7012916,,,,132.97922630522,11.62047434565
